name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
24/7 Emergency Ambulance Services,doctors and clinics,http://www.braingraceambulance.com,"+234 803 557 8766,+234 808 544 6170, +234 703 966 5211","11B, Ben Okagbue Mba Street, Lekki Phase 1, Lagos, Lagos Island, Lagos",https://www.businesslist.com.ng/company/259956/247-emergency-ambulance-services,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:36.462691+00:00
Healthstead Global Limited,doctors and clinics,https://healthsteadng.wordpress.com/,08060680382,"641, Jereton Mariere Road, Apo,Gudu, Abuja (By Jimeta Filling Station, Zone E, Apo), Abuja, Abuja",https://www.businesslist.com.ng/company/259219/healthstead-global-limited,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:38.322961+00:00
"Bet9ja Old Mobile, Log in, App, Shop Bet9ja Old Mobile, Old Bet9ja, Betnaija",doctors and clinics,https://www.bet9ja.com,"+234 1  4405145 , +234 1 2796666, +234-818-000-6245","Bet9ja Tomi&#039;s House, 9 Funsho Williams Avenue, By Fire Service Station, Ojuelegba Bus Stop, Lagos, Lagos",https://www.businesslist.com.ng/company/262086/bet9ja-nigeria-sport-betting-bet9jacom-premier-league-table-mobile-app,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:39.445277+00:00
Dheeraj Bojwani Consultants,doctors and clinics,http://www.dheerajbojwani.com/,919371136499,"2nd Floor, Yamu Niwas, Narendra Nagar, Railway Under Bridge, nagpur, Argungu, Plateau",https://www.businesslist.com.ng/company/190183/dheeraj-bojwani-consultants,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:41.523734+00:00
Njetours Ltd,doctors and clinics,https://njetours.com,+234 708 949 6731,"Suite E329 Ikota Shopping Complex VGC Lekki, Lagos Island, Lagos",https://www.businesslist.com.ng/company/260897/njetours-ltd,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:43.615894+00:00
Total Care Dental Clinic,doctors and clinics,https://www.facebook.com/totalcaredentalng/,"+2348085059961, +2348065529260","111 Airport Road opp mobil filling station by new Eliozu road roundabout, rumuodomaya, Port Harcourt, Rivers",https://www.businesslist.com.ng/company/255523/total-care-dental-clinic,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:45.667096+00:00
Aquila Clinic &amp; Fertility,doctors and clinics,,07057380555,"15a Yauri Street, Garki, Abuja, Abuja, Abuja",https://www.businesslist.com.ng/company/260826/aquila-clinicfertility,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:47.825647+00:00
Green Diagnostics Company Limited,doctors and clinics,https://gdcl.ng/,08025200314,"16c, Uwasota Road, Off Ugbowo-Lagos Rd, Benin City, Edo",https://www.businesslist.com.ng/company/256544/green-diagnostics-company-limited,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:49.772133+00:00
Edge Medical Center Ltd.,doctors and clinics,http://www.edgemedicalcenter.com,2349039494930,"Plot P14 Isiukwuato Street, PreFab Housing, Uratta West Owerri, Imo 460232, Owerri, Imo",https://www.businesslist.com.ng/company/255990/edge-medical-center-ltd,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:52.094854+00:00
Tofunmi Acu Medic Concepts,doctors and clinics,http://tofunmihealthservices.com.ng,08139237920,"30, Ijaba Osuke, Iyana-Iyesi, Ota, Ogun state, Ota, Ogun",https://www.businesslist.com.ng/company/267400/tofunmi-acu-medic-concepts,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:54.260848+00:00
Gotrack Ltd,doctors and clinics,http://www.gotrackfleet.com,"+234 706 258 3950, +234 806 431 1877, +234 803 847 1835","18, Bayo Oyewale Street, Ago Palace Way, Okota, Lagos, Lagos",https://www.businesslist.com.ng/company/261458/gotrack-ltd,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T19:51:56.286719+00:00
