name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
Jeco Private Limited,vehicle manufacturers,http://www.jeco.com.pk,+92-313-8648011,"Near Jinnah Interchange (Pindi bypass), G. T. Road., Gujranwala, Punjab",https://www.businesslist.pk/company/211270/jeco-private-limited,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-29T02:00:24.476619+00:00
Ahmad Medix (Pvt) Limited,vehicle manufacturers,http://www.ahmadmedix.com,"+92-42-35213441 , +92-42-35213442","129/6 Quaid-e-Azam industrial Estate Township, Lahore, Punjab",https://www.businesslist.pk/company/248066/ahmad-medix-pvt-limited,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-29T02:00:26.007830+00:00
Vgudie Tours and Treks,car rental,http://www.vguidetours.com,03126766888,"Office# B201 1st Flour Swat shopping Mall Fizagat, Mingora, Khyber Pakhtunkhwa",https://www.businesslist.pk/company/252406/vgudie-tours-and-treks,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:30.310880+00:00
Asad Rent A Car,car rental,https://asad-rent-a-car.business.site/,03247147000,"LG-18 , Divine Center , opp Honda Point , Airport Road , Cantt Lahore, Lahore, Punjab",https://www.businesslist.pk/company/247814/asad-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:32.262261+00:00
Khan tours and rent a car,car rental,http://www.khantours.com.pk,009223214254169,"Canal Road Mughal Pura bus stop atta market office# 3, Lahore, Punjab",https://www.businesslist.pk/company/250306/khan-tours-and-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:33.736314+00:00
Rehman Rent A car,car rental,http://www.rehmanrentacar.com,0092-321-5440807,"E-251/1, Street no. 5, Main Bazar, Qasimpura, Cantt Lahore, Lahore, Punjab",https://www.businesslist.pk/company/243004/rehman-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:34.899201+00:00
Ar Raheem Motors,car rental,http://ar-raheem-motors.com,03339737840,"Office #01, Building K-300 (Opposite UBL Bank), Hameed Khan Road, Comettie Chowk, Rawalpindi., Rawalpindi, Punjab",https://www.businesslist.pk/company/249909/ar-raheem-motors,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:39.073870+00:00
Asad Enterprises,car rental,http://www.asadtransport.com,02135057788,"C-209, Sector 31-F, Dar us Salam Society, Main Korangi Road, Karachi, Sindh",https://www.businesslist.pk/company/246041/asad-enterprises,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:40.870952+00:00
Rafay Car Rental,car rental,http://www.rafaycarrentallahore.com/,0320-8189123,"Office 99, Zainab Tower, Model Town, Link Road, Lahore, Lahore, Punjab",https://www.businesslist.pk/company/246319/rafay-car-rental,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:42.904020+00:00
ViP Cab Taxi Rent A Car &amp; Driving School,car rental,http://vip-rent-a-car-driving-school.business.site/,03060602202,"Kashmir road, Sialkot, Punjab",https://www.businesslist.pk/company/245163/vip-cab-taxi-rent-a-cardriving-school,businesslist_pk,scrapy,car-rental,2026-08-29T02:00:44.618016+00:00
