name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
Joje Abebe Fertility Centre,doctors and clinics,https://jojefertility.com.ng,+234 817 104 9999,"Plot 0140, Bamanga Tukur Street, Opposite Beautiful Beginning Academy, Zone E Legislative Quarters, Gudu District, Apo , Abuja, Abuja",https://www.businesslist.com.ng/company/263926/joje-abebe-fertility-centre,businesslist_ng,scrapy,doctors-and-clinics,2026-08-21T21:08:17.903400+00:00
Briscon Pharmacy,pharmacies,https://brisconpharmacy.com,"+234 813 527 3535, +234 909 121 3736","no 3 Emeka Nweze Street, off Admiralty way, Lekki Phase 1, Lagos Island, Lagos",https://www.businesslist.com.ng/company/264997/briscon-pharmacy,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:19.815180+00:00
Alpha Pharmacy,pharmacies,https://alphapharmacy.com.ng,+234 906 000 6241,"33 Adeniyi Jones, Oba Akran, Ikeja 101233, Lagos, Lagos",https://www.businesslist.com.ng/company/167882/alpha-pharmacy,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:21.660561+00:00
Care Forte Pharmacy,pharmacies,https://carefortepharm.com,"+234 704 474 3759, +234 803 315 7864","299 Akin Olugbade St, Victoria Island, Victoria Island, Lagos",https://www.businesslist.com.ng/company/101855/care-forte-pharmacy,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:23.587049+00:00
Drugssquare : International Specialty Pharmacy,pharmacies,https://www.drugssquare.com,+234 705 790 8776," Aba, 450101, Abia, Aba, Abia",https://www.businesslist.com.ng/company/261706/drugssquareinternational-specialty-pharmacy,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:25.802316+00:00
Drug-IT,pharmacies,https://drug-it.com,+234 809 470 7705,"Skyrace Plaza, 1 Ileshomi St, Shogunle, Lagos 100261, Lagos, Lagos, Lagos",https://www.businesslist.com.ng/company/271361/drug-it,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:27.879523+00:00
Bernados Pharmacy,pharmacies,https://www.facebook.com/BernadosPharmacy/,+234 704 357 1578," Funsho Williams Ave, Surulere 101241, Lagos, Lagos",https://www.businesslist.com.ng/company/101841/bernados-pharmacy,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:29.230492+00:00
Queen Amina Medical Integration,pharmacies,https://queenaminami.org,+234 813 560 2550,"No. 2 Emir’s Drive, Opp. Central Mosque, Azare, Bauchi",https://www.businesslist.com.ng/company/259831/queen-amina-medical-integration,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:30.825044+00:00
Safari Pharmacy,pharmacies,https://www.safaripharmacy.com,"+234 807 422 2674, +234 807 420 8379, +234 807 420 2391","Legacy House, Airport Road, by Westend Bus-Stop, Effurun, Warri, Delta",https://www.businesslist.com.ng/company/253808/safari-pharmacy,businesslist_ng,scrapy,pharmacies,2026-08-21T21:08:32.640905+00:00
Autism Parenting in Nigeria,wellness,,08037556511,"Department of Haematology, UUTH, Uyo, Akwa Ibom",https://www.businesslist.com.ng/company/272490/autism-parenting-in-nigeria,businesslist_ng,scrapy,wellness,2026-08-21T21:08:34.886182+00:00
Benign Evexia Center,wellness,https://www.benignevexiacenter.com,+234 802 858 9079,"Diamond Estate Bstop, 15 Oke Street, Lasu-Isheri Rd, 100214, Lagos, Lagos",https://www.businesslist.com.ng/company/269102/benign-evexia,businesslist_ng,scrapy,wellness,2026-08-21T21:08:37.650194+00:00
Consolidated Hallmark Insurance,insurance companies,https://www.ch-insure.com,"+234 1 461 8222, +234 1 291 2543","Metro Plaza Annex A, Plot 991/992 Zakariya Maimalari Street, Central Business District, Abuja, Abuja",https://www.businesslist.com.ng/company/108488/consolidated-hallmark-insurance-plc,businesslist_ng,scrapy,insurance-companies,2026-08-21T21:08:38.082918+00:00
Coronation Insurance,insurance companies,https://coronation.ng,+234 1 277 4500,"119 Awolowo Rd, Ikoyi, Lagos 106104, Lagos, Lagos, Lagos",https://www.businesslist.com.ng/company/271013/coronation-insurance,businesslist_ng,scrapy,insurance-companies,2026-08-21T21:08:38.894647+00:00
Avon HMO,insurance companies,https://www.avonhealthcare.com/,0700-277-9800,"29 Rumens Road Ikoyi, Lagos, Lagos",https://www.businesslist.com.ng/company/258983/avon-hmo,businesslist_ng,scrapy,insurance-companies,2026-08-21T21:08:40.936990+00:00
The Metaphor,insurance companies,http://www.themetaphorlagos.com,08187122351,"78A Younis Bashorun, Victoria Island, Lagos",https://www.businesslist.com.ng/company/267519/the-metaphor,businesslist_ng,scrapy,insurance-companies,2026-08-21T21:08:42.628205+00:00
Linkage Assurance,insurance companies,http://www.linkageassurance.com,"+234-1-2716560, +234-1-2716561, +234-1-8511193, +234 700 546 5227 3","Linkage Plaza, Plot 94, Block 20, Lekki-epe Express Way, Victoria Island, Lagos",https://www.businesslist.com.ng/company/191114/linkage-assurance,businesslist_ng,scrapy,insurance-companies,2026-08-21T21:08:44.740944+00:00
Enterprise Life Assurance Ltd,insurance companies,https://myenterprisegroup.io/ng/,+234 700 36837 77473,"46/48 Awolowo Rd, Ikoyi, Lagos 106104, Lagos, Lagos, Lagos",https://www.businesslist.com.ng/company/271792/enterprise-life-assurance-ltd,businesslist_ng,scrapy,insurance-companies,2026-08-21T21:08:46.778786+00:00
Parallex Bank,banks credit unions,https://parallexbank.com,+234 1 293 4255,"1261 Adeola Hopewell St, Victoria Island, Lagos 106104, Lagos, Lagos",https://www.businesslist.com.ng/company/271769/parallex-bank,businesslist_ng,scrapy,banks-credit-unions,2026-08-21T21:08:48.575919+00:00
Sycamore.NG,banks credit unions,https://sycamore.ng,+234 809 734 1810,"21 Adewale Kolawole Street, Off T F Kuboye, Oniru, Victoria Island, Lagos",https://www.businesslist.com.ng/company/264654/sycamoreng,businesslist_ng,scrapy,banks-credit-unions,2026-08-21T21:08:50.578569+00:00
Ecobank Nigeria,banks credit unions,https://www.ecobank.com,"+234 1 262 0910, +234 1 2612953, +234 1 262 0910, +234 1 2626710","Plot 21 Ahmadu Bello Way, Victoria Island, Lagos",https://www.businesslist.com.ng/company/142661/ecobank-nigeria-plc,businesslist_ng,scrapy,banks-credit-unions,2026-08-21T21:08:52.564869+00:00
