company_name,category,website,email,all_emails,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at
Belkins,software developer,https://belkins.io/clutch,sales@belkins.io,sales@belkins.io; press@belkins.io,,"Denver, CO",https://www.linkedin.com/company/belkins,,,4.9,231,50 - 249,< $25 / hr,"$1,000+",us/it-services,https://clutch.co/profile/belkins,clutch,cloak_browser,alive,91,A,2026-07-15T21:14:58.854Z
Capital Numbers,software developer,https://www.capitalnumbers.com/custom-software-development.php,info@capitalnumbers.com,info@capitalnumbers.com,,"Kolkata, India",https://www.linkedin.com/company/capitalnumbers/,https://www.facebook.com/CapitalNumbers,,4.8,236,250 - 999,$25 - $49 / hr,"$5,000+",in/developers,https://clutch.co/profile/capital-numbers,clutch,cloak_browser,alive,90,A,2026-07-15T21:11:33.650Z
Acquaint Softtech Private Limited,software developer,https://acquaintsoft.com,sales@acquaintsoft.com,sales@acquaintsoft.com; career@acquaintsoft.com,,"Ahmedabad, India",https://www.linkedin.com/company/acquaintsofttech,https://www.facebook.com/acquaintsoft/,https://www.instagram.com/acquaintsofttech/,4.8,60,50 - 249,$25 - $49 / hr,"$5,000+",in/developers,https://clutch.co/profile/acquaint-softtech-private,clutch,cloak_browser,alive,90,A,2026-07-15T21:11:33.650Z
FACTS ERP Software House L.L.C,Software company,https://facts.ae/?utm_source=CMBlisting&utm_medium=organic,info@facts.ae,info@facts.ae; hi@facts.ae,+971 55 899 3902,Mohd Malik & Sons Raffa Building - Office 201 - Khalid Bin Al Waleed Rd - Al Raffa - Dubai - United Arab Emirates,https://www.linkedin.com/company/facts-computer-software-house/,https://www.facebook.com/factsae,https://www.instagram.com/factserp/,4.6,103,50 - 249,$25 - $49 / hr,"$10,000+",software companies in Dubai,https://www.google.com/maps/place/FACTS+ERP+Software+House+L.L.C/data=!4m7!3m6!1s0x3e5f433e1f5f9b55:0x94a47bfdf9d201c6!8m2!3d25.2593792!4d55.2936515!16s%2Fg%2F1tj7zfs0!19sChIJVZtfHz5DXz4RxgHS-f17pJQ?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,89,A,2026-07-15T20:09:13.813Z
MOBIKASA,software developer,https://www.mobikasa.com/,info@mobikasa.com,info@mobikasa.com; mk@mobikasa.com,,"New Delhi, India",https://www.linkedin.com/company/mobikasa,https://www.facebook.com/mobikasamobile/,https://www.instagram.com/_mobikasa/,4.8,125,50 - 249,$25 - $49 / hr,"$5,000+",in/developers,https://clutch.co/profile/mobikasa,clutch,cloak_browser,alive,89,A,2026-07-15T21:11:33.650Z
Win-Pro Consultancy Pte Ltd,Computer support and services,https://www.winpro.com.sg/,salesenq@winpro.com.sg,salesenq@winpro.com.sg,+65 6100 2100,"38 Jln Pemimpin, #07-04, M38, Singapore 577178",https://www.linkedin.com/company/win-pro-consultancy-pte-ltd/,https://www.facebook.com/it.support.services.company/,https://www.instagram.com/winprosgp/,4.9,259,10 - 49,$50 - $99 / hr,"$1,000+",IT companies in Singapore,https://www.google.com/maps/place/Win-Pro+Consultancy+Pte+Ltd/data=!4m7!3m6!1s0x31da1bd1407482b5:0x3040ba310cc5eee4!8m2!3d1.3483408!4d103.8416915!16s%2Fg%2F1th7kf8m!19sChIJtYJ0QNEb2jER5O7FDDG6QDA?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,88,A,2026-07-15T20:44:40.085Z
Trigent Software - AI Development,software developer,https://trigent.com/,sales@trigent.com,sales@trigent.com,,"Bengaluru, India",https://www.linkedin.com/company/trigent-software/,https://www.facebook.com/TrigentSoftware/,,4.8,56,"1,000 - 9,999",$25 - $49 / hr,"$10,000+",in/developers,https://clutch.co/profile/trigent-software-ai-development,clutch,cloak_browser,alive,88,A,2026-07-15T21:11:33.650Z
Perpetual,software developer,https://www.perpetualny.com/capabilities/technology-and-software,info@perpetualny.com,info@perpetualny.com,,"New York, NY",https://www.linkedin.com/company/perpetual/,https://www.facebook.com/perpetualny/,https://www.instagram.com/perpetual.ny/,4.9,96,50 - 249,$100 - $149 / hr,"$25,000+",us/developers,https://clutch.co/profile/perpetual,clutch,cloak_browser,alive,88,A,2026-07-15T21:14:46.354Z
Arbisoft,Software company,https://www.arbisoft.com/,contact@arbisoft.com,contact@arbisoft.com; john.doe@email.com,+92 42 37498533,"25 Mohlanwal Road, Westwood Colony Lahore, 54000, Pakistan",https://www.linkedin.com/company/arbisoft/,https://www.facebook.com/arbisoft,https://www.instagram.com/lifeatarbisoft/,4.5,630,250 - 999,$50 - $99 / hr,"$50,000+",software development companies in Lahore,https://www.google.com/maps/place/Arbisoft/data=!4m7!3m6!1s0x391902194b5f4fa5:0x77760d1db4c96beb!8m2!3d31.4662463!4d74.2364904!16s%2Fg%2F11cfc_3yx!19sChIJpU9fSxkCGTkR62vJtB0Ndnc?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,87,A,2026-07-15T20:34:47.344Z
imaga ~ When UX & AI Both Matter,software developer,https://imaga.ai,welcome@imaga.ai,welcome@imaga.ai; example@company.com,,"Dubai, United Arab Emirates",https://www.linkedin.com/company/weareimaga,https://facebook.com/weareimaga,https://instagram.com/imaga.ai,4.9,30,10 - 49,$25 - $49 / hr,"$10,000+",ae/developers,https://clutch.co/profile/imaga-when-ux-ai-both-matter,clutch,cloak_browser,alive,87,A,2026-07-15T21:08:42.875Z
