company_name,category,website,email,all_emails,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region
NEXRUPT TECHNOLOGIES (SMC-PRIVATE) LIMITED,Backend Development / Backend Engineering,https://nexrupt.com,info@nexrupt.com,info@nexrupt.com,,Iqbal Town,https://www.linkedin.com/company/nexrupt,https://www.facebook.com/nexruptech,https://www.instagram.com/nexrupt/,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,38,C,2026-08-18T15:53:46.732Z,,,web-development,web-development; ecommerce; ui-ux-design; mobile-apps; cybersecurity; qa-testing; digital-marketing,ecommerce; ui-ux-design; mobile-apps; cybersecurity; qa-testing; digital-marketing,,,false,0.45,web,
SOFNIX (SMC-PVT.) LIMITED,Cloud Platform Engineering,https://www.sofnix.org,info@sofnix.org,info@sofnix.org,,Islamabad,https://pk.linkedin.com/company/sofnix-smc-private-limited,https://www.facebook.com/SofnixOfficial/,,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,38,C,2026-08-18T15:53:46.732Z,,,cloud-devops,cloud-devops,,,,false,0.7,rules,south-asia
GLOBAL AXIS SERVICES (PRIVATE) LIMITED,Digital Marketing,https://finceraaccounting.com/,info@finceraaccounting.com,info@finceraaccounting.com,,Lahore,https://www.linkedin.com/company/fincera-accounting,https://www.facebook.com/finceraaccounting,https://www.instagram.com/finceraaccounting,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,38,C,2026-08-18T15:53:46.732Z,,,erp-sap,erp-sap; digital-marketing; professional-services,digital-marketing; professional-services,,,false,0.6,rules,south-asia
Sassy Digitizing,Digital Marketing,https://sassydigitizing.com/,info@sassydigitizing.com,info@sassydigitizing.com,,Karachi,https://www.linkedin.com/company/sassy-digitizing-llc,https://www.facebook.com/sassydigitizing,https://www.instagram.com/sassydigitizing,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,33,D,2026-08-18T15:53:46.732Z,,,digital-marketing,digital-marketing,,,,false,0.7,rules,south-asia
Cloud Tech (Pvt) Ltd,software developer,https://www.mediasoftpro.com,support@mediasoftpro.com,support@mediasoftpro.com,,Islamabad,,https://www.facebook.com/mediasoftpro,,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,31,D,2026-08-18T15:53:46.732Z,,,cloud-devops,cloud-devops,,,,false,0.7,rules,south-asia
CARESYNC HEALTH,Digital Marketing,https://caresynchealth.com/,contact@caresynchealth.com,contact@caresynchealth.com; info@caresynchealth.com,,Lahore,,,,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,27,D,2026-08-18T15:53:46.732Z,,,digital-marketing,digital-marketing,,,,false,0.7,rules,south-asia
Shark Web,Digital Marketing,https://sharkweb.co.uk/,info@sharkweb.co.uk,info@sharkweb.co.uk; mailtoinfo@sharkweb.co.uk,,Lahore,,,,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,27,D,2026-08-18T15:53:46.732Z,,,web-development,web-development; digital-marketing,digital-marketing,,,false,0.6,rules,south-asia
Fiana Technologies,E-commerce IT Support Services,https://fianatechnologies.com/,info@fianatechnologies.com,info@fianatechnologies.com,,Lahore,,,,,,,,,techdestination profiles,,pseb,normal_scraper,unknown,25,D,2026-08-18T15:53:46.732Z,,,ecommerce,ecommerce,,,,false,0.7,rules,south-asia
Zohaib Sohail,App Development,,,,,Lahore,https://www.linkedin.com/in/zohaib-sohail/,,,,,,,,techdestination profiles,,pseb,normal_scraper,,22,D,2026-08-18T15:53:46.732Z,,,mobile-apps,mobile-apps; ai-ml,ai-ml,,,false,0.6,rules,south-asia
Jahanzaib Tariq,Content Marketing,,,,,Sialkot,https://www.linkedin.com/in/jahanzaib22/,,,,,,,,techdestination profiles,,pseb,normal_scraper,,22,D,2026-08-18T15:53:46.732Z,,,ai-ml,ai-ml; digital-marketing,digital-marketing,,,false,0.6,rules,
Muhammad Zubair,Content Marketing,,,,,Lahore,https://www.linkedin.com/in/zubair-rafique,,,,,,,,techdestination profiles,,pseb,normal_scraper,,22,D,2026-08-18T15:53:46.732Z,,,ai-ml,ai-ml; digital-marketing,digital-marketing,,,false,0.6,rules,south-asia
USAMA DILBAR,Data Entry,,,,,Multan,https://www.linkedin.com/in/usama-dilbar-475883176/,,,,,,,,techdestination profiles,,pseb,normal_scraper,,22,D,2026-08-18T15:53:46.732Z,,,data-analytics-bi,data-analytics-bi,,,,false,0.7,rules,south-asia
Muhammad Uzair,Backend Development / Backend Engineering,,,,,Lahore,https://www.linkedin.com/in/uzair-dev/,,,,,,,,techdestination profiles,,pseb,normal_scraper,,22,D,2026-08-18T15:53:46.732Z,,,ai-ml,ai-ml,,,,false,0.7,rules,south-asia
