name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
Ubaid Autos,auto repair,,+923002103102,"Plot #WS-10,Block-7,Opposit To DILL PASAND,F.B.Area, Karachi, Sindh",https://www.businesslist.pk/company/182442/ubaid-autos,businesslist_pk,scrapy,auto-repair,2026-08-18T19:33:33.618504+00:00
Aam Motors,auto dealers newused,https://www.ammmotors.com,+924232081630,"SHOWROOM 34, MUALANA SHAUKAT ALI ROAD ,JOHAR TOWN LAHORE, Lahore",https://www.businesslist.pk/company/258146/aam-motors,businesslist_pk,scrapy,auto-dealers-newused,2026-08-18T19:33:35.540827+00:00
Sher Brothers Rent a car,car rental,https//www.sherbrotherpakistan.com,04235312118,"18-C Nawab Town Raiwind road Lahore, Lahore, Punjab",https://www.businesslist.pk/company/252437/sher-brothers-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-18T19:33:37.069993+00:00
i POS System,auto parts newused,http://www.ipossystem.com,03314410472,"335 A3 Gulberg 3, Lahore, Punjab",https://www.businesslist.pk/company/249014/i-pos-system,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:33:39.266443+00:00
SignTrack,vehicle manufacturers,https://signtrack.pk,+92 3372224455,"Street 118, G11/4, Islamabad, Pakistan, Islamabad",https://www.businesslist.pk/company/255023/signtrack,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:40.706704+00:00
Ahmad Medix (Pvt) Limited,vehicle manufacturers,http://www.ahmadmedix.com,"+92-42-35213441 , +92-42-35213442","129/6 Quaid-e-Azam industrial Estate Township, Lahore, Punjab",https://www.businesslist.pk/company/248066/ahmad-medix-pvt-limited,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:42.879917+00:00
Trackinghub - Best car tracker company,vehicle manufacturers,,03424431234,"I-10, Javed market, Islamabad, Pakistan, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/254674/trackinghub-best-car-tracker-company,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:44.844889+00:00
The Credit Insurance Company Ltd.,vehicle manufacturers,,0321-4680291,"Trafco House.1c1 Canal Bank Road Canal Park Gulberg ll Lahore Pakistan , Lahore, Punjab",https://www.businesslist.pk/company/121538/the-credit-insurance-company-ltd,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:46.684979+00:00
Jeco Private Limited,vehicle manufacturers,http://www.jeco.com.pk,+92-313-8648011,"Near Jinnah Interchange (Pindi bypass), G. T. Road., Gujranwala, Punjab",https://www.businesslist.pk/company/211270/jeco-private-limited,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:48.358229+00:00
Ayub Shock Auto,vehicle manufacturers,,,"Shah Jahan Road Behind Data Darbar, Baari wala Chowk, Qamar Market Lahore , Lahore, Punjab",https://www.businesslist.pk/company/241354/ayub-shock-auto,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:50.410385+00:00
Pantrac PVT LTD (Authorized dealer of Sinotruk),vehicle manufacturers,,03171008718,"House 81/1.22nd street. DHA VI. Khayaban e Badar., Karachi, Sindh",https://www.businesslist.pk/company/247690/pantrac-pvt-ltd-authorized-dealer-of-sinotruk,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:52.779264+00:00
Shaharyar Traders,vehicle manufacturers,https://shaharyartraders.com/,04235162145,"14-C/1Main, Faisal Town Rd, Block C 1 Faisal Town, Lahore, Punjab 54000, Lahore, Punjab",https://www.businesslist.pk/company/251598/shaharyar-traders,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:55.015643+00:00
Lahore Hazara Goods,vehicle manufacturers,https://lahorehazaragoods.weebly.com/,+92423772531,"PLOT NO,8/A RAVI LINK ROAD LAHORE, Lahore, Punjab",https://www.businesslist.pk/company/246438/lahore-hazara-goods,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-18T19:33:56.257048+00:00
Kashmir trader,auto parts newused,https://autopartskashmir.blogspot.com/,+92 3027998171,"Shop no 2 afroze market main guwalmondi road Rawalpindi, Rawalpindi, Punjab",https://www.businesslist.pk/company/253539/kashmir-trader,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:33:58.435186+00:00
Hong de Impex,auto parts newused,http://www.hongdehd.com.pk,03204967152,"206A, 2nd floor siddique trade center gulberg-II, Lahore, Punjab",https://www.businesslist.pk/company/252173/hong-de-impex,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:33:59.962369+00:00
Modern Car Accessories,auto parts newused,https://www.moderncaraccessories.com/,0423-7722227,"Opposite Police Station Lari Ada Wazir Ali Center Lahore Badami Bagh، Data Nagar Badami Bagh, Lahore, Punjab 54000, Lahore, Punjab",https://www.businesslist.pk/company/248684/modern-car-accessories,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:02.185583+00:00
Vecanza.com,auto parts newused,https://vecanza.com/,03211946029,"Islamabad, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/249221/vecanzacom,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:04.134189+00:00
Zahid Impex,auto parts newused,https://zahid-impex.business.site,+92-21-32722551,"7-Rahim Manzil, Plaza Square, Muhammad Ali Jinnah Rd, Preedy Quarters, Karachi, Sindh",https://www.businesslist.pk/company/207981/zahid-impex,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:06.240450+00:00
Suzuki mardan Motors,auto parts newused,https://suzukimardan.com/,03166600002,"Chah Sultan Chaklala Cantt., Rawalpindi, Punjab 46000, Rawalpindi, Punjab",https://www.businesslist.pk/company/252892/suzuki-mardan-motors,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:07.917120+00:00
Chiyoda Auto Lamp,auto parts newused,,924237721137,"Mcleod Road Lahore, Lahore, Punjab",https://www.businesslist.pk/company/253567/chiyoda-auto-lamp,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:09.769860+00:00
Turbo tech Pakistan,auto parts newused,,,"Madina Plaza, Phase-II Shop# 69, M.A Jinnah Road",https://www.businesslist.pk/company/249344/turbo-tech-pakistan,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:11.809688+00:00
Five Star Honda/ Services in Johar,auto parts newused,https://www.fivestarhonda.com.pk/,+923368352032,"Shop # 3&amp;4, Crescent view apartment, Opposite Habib University Gulistan E Johar Block 13 Karachi, Karachi",https://www.businesslist.pk/company/255186/five-star-honda-services-in-johar,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:13.265060+00:00
Pakmoto,auto parts newused,https://pakmoto.com,03313555911,"5th Floor, Prop 26R-9/9, Montgomery Park, Montgomery Road, Lahore, Lahore, Punjab",https://www.businesslist.pk/company/247348/pakmoto,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:15.223348+00:00
Perfect Auto Parts,auto parts newused,,+923204061461,"Shop M27 first Floor Shafi Tower Near MCB Circular Road Badami bagh, Lahore",https://www.businesslist.pk/company/257634/perfect-auto-parts,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:16.573954+00:00
Lift-n-trade,auto parts newused,,+922132772471,"G-167, Ruby Plaza, Preedy Street, Karachi (near to preedy police station), Karachi",https://www.businesslist.pk/company/258908/lift-n-trade,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:17.777453+00:00
AA Parts,auto parts newused,https://www.aaparts.net/,(042)-3630717-1,"First floor H-06 Montgomery Road Lahore, Lahore, Punjab",https://www.businesslist.pk/company/254327/aa-parts,businesslist_pk,scrapy,auto-parts-newused,2026-08-18T19:34:19.064521+00:00
Rent a Car Pakistan,car rental,http://www.rentacarpak.com,051 8772657,"Office 4, CAM Arcade II, Main GT Road Near Gate Phase 7-8, Bahria Town Rawalpindi,, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/249193/rent-a-car-pakistan,businesslist_pk,scrapy,car-rental,2026-08-18T19:34:20.132541+00:00
Hunza Explorers Treks &amp; Tours,car rental,http://www.hunzaexplorers.com,+92 311 0804658,"Village Ghulkin P.O &amp; Tehsil Gulmit Gojal, upper Hunza, Islamabad, Gilgit-Baltistan",https://www.businesslist.pk/company/241746/hunza-explorers,businesslist_pk,scrapy,car-rental,2026-08-18T19:34:22.097398+00:00
RPM Car Rental,car rental,https://rpmcarrental.pk/,03009238948,"Suit # G-14, Allience Apartment, Sector 11 C 1 North Karachi, Karachi., Karachi, Sindh",https://www.businesslist.pk/company/252861/rpm-car-rental,businesslist_pk,scrapy,car-rental,2026-08-18T19:34:23.961592+00:00
Cars Travel Junction,car rental,http://www.carstraveljunction.com,+923456678510,"Office#02 Jinnah Arcade Street# 37 G-13/2, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/247553/cars-travel-junction,businesslist_pk,scrapy,car-rental,2026-08-18T19:34:26.108097+00:00
Madina Rent A Car,car rental,http://madina-rent-a-car.business.site/,03214235986,"Haji Akram Plaza, Gate No.1, Sooter Mills, Main GT Road , Lahore, Punjab",https://www.businesslist.pk/company/247604/madina-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-18T19:34:27.124190+00:00
Faisalabad Car Rental And Tours Service,car rental,https://www.facebook.com/pg/faisalabadcarrental/about/,03044006169,"Millat Chowk Shaikhupura Road Near Habib Metro Bank , Faisalabad, Punjab",https://www.businesslist.pk/company/250367/faisalabad-car-rental-and-tours-service,businesslist_pk,scrapy,car-rental,2026-08-18T19:34:29.036978+00:00
